========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		50		0.1		50.1
9				2		2		50		0.1		50.1
8				2		3		50		0.1		50.1
7				2		4		50		0.1		50.1
6				2		1		50		50.1		100.1
5				2		2		50		50.1		100.1
4				2		3		50		50.1		100.1
3				2		4		50		50.1		100.1
2				2		1		50		100.1		150.1
1				2		2		50		100.1		150.1
========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		100		0.1		100.1
6				2		5		100		0.1		100.1
9				2		2		100		0.1		100.1
5				2		6		100		0.1		100.1
8				2		3		100		0.1		100.1
4				2		7		100		0.1		100.1
7				2		4		100		0.1		100.1
3				2		8		100		0.1		100.1
2				2		1		100		100.1		200.1
1				2		2		100		100.1		200.1
========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		25		0.1		25.1
9				2		2		25		0.1		25.1
8				2		1		25		25.1		50.1
7				2		2		25		25.1		50.1
6				2		1		25		50.1		75.1
5				2		2		25		50.1		75.1
4				2		1		25		75.1		100.1
3				2		2		25		75.1		100.1
2				2		1		25		100.1		125.1
1				2		2		25		100.1		125.1
